"#","Cluster","Slug","Title_KA","Title_RU","Title_EN","Primary_HF","GSC_signal","Priority"
"1","POL","polish-cream-diy-vs-studio","მანქანის პოლირების კრემი — მუშაობს თუ არა?","Полироль для автомобиля — работает ли самостоятельно или нужна студия","Car polish cream — DIY vs professional studio","полировка салона авто, полироль","KA `მანქანის პოლირების კრემი` 1424/0","P1"
"2","POL","interior-plastic-polish","სალონის პლასტმასის პოლირება — მატი თუ გლოსი?","Полировка пластика салона автомобиля — гайд","Car interior plastic polish guide","полировка пластика салона автомобиля","RU 550/0","P1"
"3","POL","salon-polish-interior-detail","სალონის გაპრიალება BESTAUTO-ში","Полировка салона авто — что входит в услугу","Car interior polishing — what's included","полировка салона авто","RU 765/2","P1"
"4","POL","steam-headlight-polishing","ფარების პოლირება ორთქლით vs აბრაზიული","Полировка фар паром vs абразивная","Steam headlight polishing vs abrasive","полировка фар автомобиля","RU 648/0; competitor autoqimwmenda.ge","P1"
"5","POL","polishing-after-body-repair-guide","პოლირება სხეულის შეკეთების შემდეგ — სრული გზამკვლევი","Полировка после кузовного ремонта — как правильно","How to polish a car after body repair","полировка после ремонта","EN `how to polish a car after body repair` 412/0","P1"
"6","POL","polishing-old-cars-worth-it","ღირს თუ არა ძველი მანქანის პოლირება?","Стоит ли полировать старый автомобиль?","Is polishing an old car worth it?","полировка кузова автомобиля","competitor autoqimwmenda.ge","P2"
"7","POL","pre-sale-polishing-resale-value","პოლირება გაყიდვისთვის — მეტი ფული","Полировка перед продажей — как повышает цену","Pre-sale car polishing for resale value","полировка авто цена","competitor priala.ge; semantic core #18","P2"
"8","POL","abrasive-polishing-deep-dive","აბრაზიული პოლირება — როდის აუცილებელი და რა რისკებია","Абразивная полировка — что это и когда нужна","Abrasive polishing — when it's needed and risks","абразивная полировка","dict HF, low vol/commercial","P2"
"9","POL","polish-vs-wax-vs-ceramic-beginners","ვოსკი, პოლირება თუ კერამიკა — ახალმოსულთათვის","Воск, полировка или керамика — для новичков","Wax vs polish vs ceramic — beginner's guide","полировка авто, керамическое покрытие","general educational gap","P2"
"10","POL","mountain-trip-polish-check","მთაში მგზავრობის შემდეგ პოლირება (ყაზბეგი, სვანეთი)","После горной поездки — полировка и проверка кузова","Mountain trip polishing — after Kazbegi/Svaneti","полировка кузова после царапин","market-specific; geo","P3"
"11","POL","polish-finish-types-matt-gloss-satin","მატი vs გლოსი vs სატინ — რომელი გინდა?","Матовая, глянцевая или сатиновая полировка","Matt vs gloss vs satin polish finishes","полировка лкп","dict HF expansion","P3"
"12","POL","polishing-how-often-myth-bust","რამდენად ხშირად ღირს პოლირება — მითების დემონტაჟი","Как часто полировать машину — разбор мифов","How often to polish a car — myths debunked","как часто полировать машину","follow-up к existing `how-often-polish-car`","P3"
"13","POL","headlight-polish-vs-replace","ფარების პოლირება თუ შეცვლა?","Полировка фар или замена?","Headlight polishing vs replacement","полировка фар","RU 233/0","P2"
"14","POL","scratch-polish-guide","კორპუსის ნაკაწრების პოლირება — რა მუშაობს","Как убрать царапины полировкой — по глубине","Scratch removal with polishing — by depth","полировка кузова автомобиля, царапины","semantic-core depth topic","P2"
"15","CER","ceramic-polishing-combo","კერამიკული პოლირება + საფარი — რატომ ერთად?","Керамическая полировка + покрытие — пакетная услуга","Ceramic polish + coating combo package","керамическое покрытие, керамическая полировка","KA `კერამიკული პოლირება` 39cl/1077imp; competitor","P1"
"16","CER","interior-ceramic-detail","სალონის კერამიკული დაცვა — ტყავი, პლასტიკი, ქსოვილი","Керамика салона — кожа, пластик, ткань","Interior ceramic protection — leather, plastic, fabric","керамика салона, дезинфекция салона авто","RU 172/0","P1"
"17","CER","hydrophobic-windshield-coating","ანტი-წვიმის საფარი საქარე მინაზე","Антидождь на лобовом стекле — керамика","Hydrophobic windshield coating (anti-rain)","керамика на лобовое стекло","detailing-ge.com FAQ","P2"
"18","CER","ceramic-application-cost-breakdown","კერამიკული საფარის გამოყენების ღირებულება — 4 ფაქტორი","Из чего складывается цена керамического покрытия — 4 фактора","Ceramic coating cost breakdown — 4 price drivers","нанесение керамики, керамическое покрытие цена","RU 120/0","P2"
"19","CER","ceramic-prep-paint-correction","კერამიკის მომზადება — პოლირებით vs ცივად გასწორებით","Подготовка под керамику — полировка vs выправление","Ceramic prep — polishing vs paint correction","подготовка кузова под керамику","educational gap","P2"
"20","CER","ceramic-over-ppf-layered","კერამიკა PPF-ზე — ორმაგი დაცვა","Керамика поверх PPF — двойная защита","Ceramic over PPF — layered protection","ceramic + PPF layered","competitor synthesis","P2"
"21","CER","ceramic-product-lines-compared","კერამიკული ხაზების შედარება (9H, SiO2, SiC)","Сравнение линеек керамики — 9H, SiO2, SiC","Ceramic product lines compared (9H, SiO2, SiC)","техническое сравнение","competitor autoqimwmenda.ge angle","P3"
"22","CER","ceramic-tbilisi-climate","კერამიკა თბილისის კლიმატში — ზაფხული/ზამთარი","Керамика в тбилисском климате — лето и зима","Ceramic coating in Tbilisi climate — seasons","керамическое покрытие, погода","seasonal gap","P3"
"23","CER","ceramic-5-year-tco","კერამიკა — 5 წლის ხარჯების ანალიზი","Керамика — стоимость владения 5 лет","Ceramic coating 5-year TCO","ceramic coating cost","TCO/commercial","P3"
"24","CER","maintenance-wash-ceramic","როგორ ვრეცხოთ კერამიკული საფარიანი ავტომობილი","Как правильно мыть машину с керамикой","How to wash a ceramic-coated car","мойка авто с керамикой","existing maintenance covers basics, this = service-specific","P2"
"25","CER","ceramic-vs-wax-vs-sealant","კერამიკა vs ცვილი vs სინთ. სილანტი","Керамика, воск или синтетический силант","Ceramic vs wax vs synthetic sealant","защита кузова","umbrella comparison","P2"
"26","PPF","what-is-ppf-explainer","რა არის PPF — სრული ახსნა","Что такое PPF плёнка — подробный гайд","What is PPF — complete explainer","ppf это, ppf плёнка","RU `что такое PPF` 368/4 + `ppf это` 1268/2 + `ппф это` 658/1","P1"
"27","PPF","ppf-full-body-wrapping-guide","სრული ძარის PPF გადაკვრა — რისი მოლოდინი","Полная оклейка кузова PPF плёнкой — гайд","Full body PPF wrapping — what to expect","обтяжка ppf плёнкой, ppf wrapping","RU `обтяжка PPF плёнкой` 705/0; EN `ppf wrapping` 1104/0","P1"
"28","PPF","ppf-vs-ceramic-vs-vinyl","PPF vs კერამიკა vs ვინილი — სამმხრივი შედარება","PPF, керамика или винил — тройное сравнение","PPF vs ceramic vs vinyl — 3-way comparison","ppf или керамика","competitor synthesis; covered partially by existing `top-5-car-paint-protection`","P1"
"29","PPF","ppf-protection-levels-partial-full","PPF პაკეტები — წინა, ძარის ნაწილი, სრული","Варианты PPF — капот, полкорпуса, полный","PPF packages — hood / half / full","оклейка защитной пленкой авто","RU 329/0","P1"
"30","PPF","ppf-self-healing-explained","თვით-აღდგენადი PPF — როგორ მუშაობს UV-ზე","Самовосстанавливающееся PPF — физика эффекта","PPF self-healing — how it works under UV","самовосстановление плёнки","technical gap","P2"
"31","PPF","ppf-for-new-cars-checklist","ახალი მანქანისთვის PPF — საიდან დაიწყო","Для новой машины — какой PPF выбрать","New-car PPF installation checklist","ppf для новой машины","existing `new-car-detailing` umbrella, this = PPF-specific","P2"
"32","PPF","ppf-matte-satin-finish-options","მატი და სატინ PPF — ფერის შეცვლის გარეშე ვიზუალი","Матовая и сатиновая PPF — визуал без оклейки цветом","Matte & satin PPF finishes","матовая плёнка","dict HF long-tail","P2"
"33","PPF","ppf-edge-peeling-troubleshoot","PPF კიდეების აქერცვლა — მიზეზები და ხელახალი დაყენება","Края PPF отслаиваются — причины и что делать","PPF edge peeling — causes and fix","PPF гарантия","service-depth","P2"
"34","PPF","ppf-pricing-georgia-2026","PPF ფასი საქართველოში 2026 — ზომები, ბრენდები","Цена PPF в Грузии 2026 — по размерам и брендам","PPF pricing Georgia 2026 — by size and brand","оклейка плёнкой цена","ppf pricing intent","P1"
"35","PPF","ppf-brand-comparison-llumar-stek","LLumar, Stek, XPEL, Quantum — PPF ბრენდების შედარება","Сравнение брендов PPF — LLumar, Stek, XPEL, Quantum","PPF brand comparison — LLumar, Stek, XPEL, Quantum","бренды PPF","authoritative content","P2"
"36","PPF","ppf-anti-gravel-focused","ანტიქვა PPF — კაპოტი, ფრთა, ბამპერი","Антигравийная плёнка — капот, бампер, крылья","Anti-gravel PPF — hood, fenders, bumper","антигравийная плёнка","HF dict","P2"
"37","PPF","ppf-hood-only-partial-wrap","მხოლოდ კაპოტის PPF — როდის საკმარისია","Только капот PPF — когда хватает","Hood-only PPF — when it's enough","защита капота плёнкой","common question","P3"
"38","PPF","ppf-removal-how-to","PPF-ის მოხსნა — პროცესი და რისკები","Снятие PPF плёнки — процесс и риски для лкп","PPF removal — process and paint risks","снятие PPF","service-depth","P3"
"39","VIN","car-body-wrap-cost-guide","ძარის გადაკვრა — ფასი ზომის მიხედვით","Оклейка кузова плёнкой — цена по размерам","Car body wrap pricing guide","оклейка кузова","RU 470/0","P1"
"40","VIN","black-gloss-wrap-popular-choice","შავი გლოსი ფირით გადაკვრა — პოპულარული არჩევანი","Оклейка чёрной глянцевой плёнкой — топ выбор","Black gloss vinyl wrap — popular choice","оклейка авто чёрной глянцевой плёнкой","RU 155/1","P2"
"41","VIN","wrap-color-options-finishes","ფერის არჩევა — 50+ ვარიანტი ფირისთვის","50+ цветов винила — как выбрать","50+ vinyl wrap colors — how to choose","цвета виниловой плёнки","variant expansion","P2"
"42","VIN","carbon-fiber-vinyl-wrap","კარბონის ფირი — რა არის და სად გამოყენება","Карбоновая плёнка — что это и куда наносить","Carbon fiber vinyl — what and where","карбоновая плёнка","competitor autoqimwmenda.ge","P2"
"43","VIN","wrap-vs-paint-cost-lifetime","ფირი vs საღებავი — ღირებულება, ვადა","Плёнка или перекраска — цена, срок, реверсивность","Wrap vs repaint — cost, lifetime, reversibility","оклейка вместо покраски","business-decision","P1"
"44","VIN","interior-decor-vinyl-film","ინტერიერის დეკორატიული ფირი — DIY თუ სტუდიო","Декоративная плёнка для салона — DIY или студия","Interior decor vinyl — DIY or studio","плёнка салона, декор","competitor autoqimwmenda.ge","P3"
"45","VIN","chrome-delete-vinyl","ქრომის მოცილება ფირით — მარტივი სტილი","Удаление хрома плёнкой (chrome delete)","Chrome delete with vinyl wrap","антихром, chrome delete","service-specific","P2"
"46","VIN","vinyl-wrap-care-maintenance","ვინილის ფირის მოვლა — რეცხვა, ქიმია","Уход за виниловой плёнкой — мойка, химия","Vinyl wrap care — wash, chemicals","уход за плёнкой","complements existing `hints-for-vinyl-wrapped-cars`","P2"
"47","VIN","wrap-removal-residue","ფირის მოხსნა — ნარჩენების გარეშე","Снятие плёнки без следов — как правильно","Vinyl wrap removal without residue","снятие виниловой плёнки","service-depth","P3"
"48","VIN","wedding-photoshoot-wrap","ქორწინების/ფოტოსესიის ავტოს გამოწერა","Свадьба/фотосессия — временная смена цвета","Wedding / photoshoot temporary wrap","аренда для фотосессии","unique angle; priala.ge","P3"
"49","TIN","tint-60-percent-legal-georgia","60% დაბურვა — ნებადართული საქართველოში?","60% тонировка — разрешена в Грузии? 2026","Is 60% window tint legal in Georgia 2026?","тонировка 60 процентов, разрешенный процент тонировки","RU 147/2; KA `მინების დამუქება კანონი 2024` 325/4","P1"
"50","TIN","tint-percentage-explained","დაბურვის პროცენტები — 20/35/50/60% სხვაობა","Процент тонировки — 20, 35, 50, 60% разница","Tint percentages explained — 20 / 35 / 50 / 60","тонировка стекол","RU 805/0","P1"
"51","TIN","reflective-vs-dark-tint-heat","ამრეკლი vs მუქი ფირი — სიცხის ტესტი","Атермалка vs чёрная тонировка — тест на жару","Reflective vs black tint — heat performance test","атермальная тонировка","competitor autoqimwmenda.ge","P1"
"52","TIN","front-windshield-tint-rules","წინა საქარე მინის დაბურვა — წესები","Тонировка лобового стекла — что можно в Грузии","Front windshield tint rules in Georgia","разрешенный процент тонировки на передние стекла","RU 129/0","P1"
"53","TIN","tint-ceramic-vs-atermal-vs-dyed","კერამიკული vs ატერმალური vs ნაღებავი ფირი","Керамика, атермалка или крашеная — 3 типа тонировки","Ceramic vs athermal vs dyed tint films","типы тонировочных плёнок","type comparison","P1"
"54","TIN","window-tint-process-detailed","დაბურვის პროცესი ეტაპობრივად","Процесс тонировки — от подготовки до сушки","Window tinting process step-by-step","как делается тонировка","competitor autoqimwmenda.ge","P2"
"55","TIN","anti-uv-anti-rust-tint","ანტი-UV ფირი","УФ-защитная тонировка","Anti-UV / anti-rust tint film","UV защита тонировкой","competitor autoqimwmenda.ge","P2"
"56","TIN","tint-removal-bubbles","ძველი დაბურვის მოხსნა — ბუშტუკები, აქერცვლა","Снятие старой тонировки — пузыри, отслоение","Old tint removal — bubbles, peeling","снятие тонировки","service-depth","P2"
"57","TIN","tint-care-fresh-install","ახალი დაბურვის შემდეგ — 5 დღე მოვლა","Уход за свежей тонировкой — первые 5 дней","Fresh tint aftercare — first 5 days","уход за тонировкой","complement to existing `window-tinting-care`","P2"
"58","TIN","mobile-tinting-on-location","ადგილზე მისვლით დაბურვა — რა ეცოდინო","Тонировка с выездом — плюсы и минусы","Mobile window tinting — pros and cons","тонировка на дому, выезд","dict HF `ადგილზე მისვლით`","P2"
"59","TIN","how-to-choose-tint-film","ფირის არჩევა — ფერი, პროცენტი, ბრენდი","Как выбрать тонировочную плёнку — цвет, %, бренд","How to choose window tint film","выбор тонировочной плёнки","competitor autoqimwmenda.ge","P2"
"60","TIN","windshield-tint-strip-header","წინა შუშის ანტი-მზის ფერი — ზედა ზოლი","Солнцезащитная полоса на лобовом стекле","Windshield sun strip (anti-sun header)","солнцезащитная полоса","niche product","P3"
"61","WIN","chip-repair-process-step-by-step","ნაკენჭარის შეკეთების პროცესი ეტაპებზე","Ремонт скола на лобовом стекле — пошагово","Windshield chip repair process — step by step","ремонт сколов, скол на лобовом стекле","RU `ремонт сколов` 1106/0; `скол на лобовом стекле` 423/5","P1"
"62","WIN","windshield-crack-repair-size-limit","საქარე მინის ბზარის შეკეთება — ზომის ლიმიტი","Трещина на лобовом — до какой длины ремонтируют","Windshield crack repair — size limits","ремонт трещин лобового стекла","HF dict #1","P1"
"63","WIN","windshield-repair-vs-replacement","შეკეთება თუ შეცვლა — გადაწყვეტა (დეტალური)","Ремонт или замена лобового — как выбирать","Windshield repair vs replacement — deep dive","ремонт стекол авто","existing `replace-or-repair` umbrella, this = decision tree","P2"
"64","WIN","mobile-windshield-repair-on-site","საქარე მინის აღდგენა გამოძახებით","Ремонт лобового с выездом в Тбилиси","Mobile windshield repair on-site","ремонт с выездом","KA `საქარე მინის შეცვლა გამოძახებით` 131/2","P2"
"65","WIN","windshield-polishing-micro-scratch","საქარე მინის პოლირება — მიკროხაზების მოცილება","Полировка лобового стекла — убираем микроцарапины","Windshield glass polishing — micro-scratch removal","полировка лобового стекла","competitor autoqimwmenda.ge","P2"
"66","WIN","modern-windshields-sensors-cameras","თანამედროვე საქარე მინები — სენსორები, კამერები","Современные стёкла с сенсорами и камерами — нюансы ремонта","Modern windshields with sensors & cameras","камеры на лобовом, обогрев","technical gap","P2"
"67","WIN","windshield-night-visibility-issues","ღამის ხილვადობა საქარე მინაზე — მიზეზები","Плохая видимость ночью через стекло — причины","Poor night visibility through windshield","потеря видимости лобового","commercial intent","P2"
"68","WIN","winter-windshield-care-cracks-prevention","ზამთრის მოვლა — ბზარის თავიდან აცილება","Зимний уход — как избежать трещин лобового","Winter windshield care — crack prevention","зимний уход","seasonal","P3"
"69","WIN","deep-crack-rescue-last-chance","ღრმა ბზარი — შეგიძლიათ გადაარჩინოთ?","Глубокая трещина — последний шанс спасти","Deep crack rescue — last chance","глубокая трещина лобовое","urgent-intent","P3"
"70","WIN","insurance-windshield-claim-georgia","დაზღვევა საქართველოში — საქარე მინის დაფარვა","Страховка Грузия — покрытие лобового стекла","Windshield insurance coverage in Georgia","страховка стекло","commercial angle","P3"
"71","WSH","detailing-wash-explained","დეტეილინგ რეცხვა — რა განსხვავება ჩვეულებრივისგან?","Детейлинг-мойка — чем отличается от обычной","What is detailing wash — how it differs","детейлинг мойка, детейлинг мойка что это","RU `детейлинг мойка` 553/5; `детейлинг мойка что это` 133/0","P1"
"72","WSH","2-phase-vs-3-phase-wash","2-ფაზიანი vs 3-ფაზიანი რეცხვა — სხვაობა","2-фазная vs 3-фазная мойка — разница","2-phase vs 3-phase car wash explained","2 фазная мойка","service-specific","P1"
"73","WSH","contactless-wash-vs-hand","უკონტაქტო vs ხელით რეცხვა — რისკები ლაქისთვის","Бесконтактная vs ручная мойка — риски для лкп","Contactless vs hand wash — paint risks","бесконтактная мойка, безопасная мойка","dict HF `бесконтактная мойка`","P1"
"74","WSH","wash-schedule-tbilisi-weather","რეცხვის გრაფიკი თბილისში — ზაფხული/ზამთარი","График мойки в Тбилиси — как часто по сезонам","Car wash schedule by Tbilisi season","мойка по сезонам","seasonal; general intent","P2"
"75","WSH","wash-with-ceramic-ppf-care","რეცხვა კერამიკით/PPF-ით — უსაფრთხო ქიმია","Мойка авто с керамикой и PPF — какая химия","Washing cars with ceramic or PPF — safe chemistry","мойка авто с керамикой","cross-link to ceramic/PPF clusters","P1"
"76","WSH","pressure-washer-diy-danger","PPF-ი და კერამიკა vs მაღალი წნევის","Мойка мойкой высокого давления — чего избегать","Pressure washer at home — what to avoid","мойка высокого давления","technical warning","P2"
"77","WSH","engine-bay-wash-safety","ძრავის განყოფილების რეცხვა — უსაფრთხო?","Мойка подкапотки — безопасно или нет","Engine-bay wash — is it safe?","мойка моторного отсека","cross-sell angle","P2"
"78","WSH","wash-subscription-pass","რეცხვის აბონემენტი — ღირს თუ არა","Абонемент мойки — выгода, варианты","Monthly wash subscription — worth it?","абонемент мойки","business model","P3"
"79","INT","chem-cleaning-tbilisi-prices","ქიმწმენდა თბილისში — სრული გზამკვლევი","Химчистка Тбилиси — цены и студии","Chemical cleaning Tbilisi — full guide","ქიმწმენდა თბილისში, химчистка тбилиси","KA 1331/3; RU 538/3 (обе #1 signals)","P1"
"80","INT","salon-detailing-explained","სალონის დეტეილინგი — რა შედის?","Детейлинг салона — что входит","Interior salon detailing — what's included","детейлинг салона авто","RU 631/0 (huge gap)","P1"
"81","INT","interior-disinfection-ozone","სალონის ოზონოთერაპია — დეზინფექცია","Дезинфекция салона озоном — как работает","Cabin ozone disinfection explained","дезинфекция салона автомобиля","RU 250/0","P1"
"82","INT","smoker-cabin-nicotine-removal","მწეველის მანქანის ქიმწმენდა — ნიკოტინი, სუნი","Химчистка машины курильщика — никотин, запах","Cabin chem-clean for smokers — nicotine & odor","химчистка салона курильщика","competitor autoqimwmenda.ge","P1"
"83","INT","pet-hair-cabin-removal","ცხოველების ბეწვის ამოღება სალონიდან","Удаление шерсти животных из салона","Pet hair removal from car interior","шерсть от животных салон","priala.ge category","P2"
"84","INT","leather-seat-restoration","ტყავის სავარძლების აღდგენა — ბზარები, ფერი","Восстановление кожаных сидений — трещины, цвет","Leather seat restoration — cracks and colour","восстановление кожи салона","priala.ge, competitor","P1"
"85","INT","fabric-seat-stain-guide","ქსოვილის სავარძლების ლაქების მოცილება","Пятна на тканевых сиденьях — чем выводить","Fabric seat stain removal guide","пятна на сиденьях","common search","P2"
"86","INT","wrong-chemicals-damage-plastic","არასწორი ქიმია — პლასტიკის დაზიანება","Неправильная химия портит пластик салона — как избежать","Wrong chemicals that damage interior plastic","уход за пластиком салона","competitor autoqimwmenda.ge","P2"
"87","INT","headliner-cleaning-dangers","ჭერის წმენდა — რატომ ძნელი","Химчистка потолка авто — тонкости","Headliner cleaning — why it's tricky","химчистка потолка салона","niche but commercial","P2"
"88","INT","mold-mildew-cabin-flood","ობობა/ობი სალონში — წყლის შემდეგ","Плесень в салоне после протечки — как вывести","Mold/mildew after cabin water damage","плесень в салоне","urgent-intent","P2"
"89","INT","interior-ceramic-after-cleaning","ქიმწმენდის შემდეგ — კერამიკული დაცვა","После химчистки — керамика салона для защиты","Post-cleaning interior ceramic protection","защита салона после химчистки","cross-link to ceramic","P2"
"90","INT","salon-vacuum-vs-dry-clean","მტვერსასრუტი vs ქიმწმენდა — სხვაობა","Пылесос vs химчистка — в чём разница","Vacuum vs dry-cleaning — what's the difference","пылесос против химчистки","educational","P3"
"91","INT","bolt-yandex-driver-detailing","Bolt/Yandex მძღოლისთვის — სალონის გრაფიკი","Bolt/Yandex-водителю — график химчистки салона","Bolt/Yandex drivers — cabin detail schedule","химчистка для такси","market-specific","P2"
"92","INT","post-interior-cleaning-mistakes","ქიმწმენდის შემდეგ — top 5 შეცდომა","После химчистки — 5 главных ошибок владельца","Top 5 mistakes after interior cleaning","ошибки после химчистки","competitor autoqimwmenda.ge","P2"
"93","GEN","detailing-center-tbilisi","დეტეილინგ ცენტრი თბილისში — რას ითვალისწინება","Детейлинг-центр в Тбилиси — критерии выбора","Detailing center Tbilisi — what to look for","детейлинг центр, детейлинг студия","RU `детейлинг центр` 749/0; `детейлинг студия` 531/0","P1"
"94","GEN","detailing-services-all-in-one","ავტო დეტეილინგის სრული სპექტრი BESTAUTO","Все детейлинг-услуги — сводный гайд","Full-spectrum car detailing services","детейлинг услуги","RU `детейлинг услуги` 469/0","P1"
"95","GEN","winter-detailing-tbilisi","ზამთრის დეტეილინგი თბილისში — მარილი, ლაფი","Зимний детейлинг в Тбилиси — соль, слякоть","Winter detailing Tbilisi — salt, slush","зимний уход","seasonal counterpart to `summer-car-care-georgia`","P2"
"96","GEN","5-year-ownership-detailing-plan","5-წლიანი მფლობელობის გეგმა","План детейлинга на 5 лет владения","5-year ownership detailing plan","детейлинг график, долгосрочный уход","TCO/umbrella","P2"
"97","GEN","lease-return-detailing-prep","სალიზინგო/დაქირავებული ავტოს დაბრუნება","Возврат авто после лизинга/аренды — детейлинг","Lease-return detailing prep","лизинг авто возврат","niche-commercial","P3"
"98","GEN","detailing-brands-we-use","რომელ მასალებს ვიყენებთ — LLumar, Quantum","Какие материалы используем — бренды и почему","Detailing brands we use — LLumar, Quantum","материалы для детейлинга, бренды","trust-building","P2"
"99","GEN","tbilisi-districts-detailing-delivery","რა რაიონებში ემსახურებით — საბურთალო, გლდანი","В какие районы выезжаем — Сабуртало, Глдани","Tbilisi districts we serve — coverage map","geo qualifier","geo-local","P3"
"100","GEN","detailing-faq-common-myths","ხშირად დასმული კითხვები — 15 მითი","Детейлинг-мифы — разбираем 15 часто задаваемых","Detailing myths & FAQ — 15 common questions","faq по детейлингу","evergreen","P2"
